"","Scenario_ID","groups","variable","value"
"1","scenario_1","a","total_orders",79.6755852842809
"2","scenario_4","a","total_orders",79.6755852842809
"3","scenario_7","a","total_orders",79.6755852842809
"4","scenario_2","a","total_orders",80.0267558528428
"5","scenario_3","a","total_orders",80.0267558528428
"6","scenario_5","a","total_orders",80.0267558528428
"7","scenario_8","a","total_orders",80.0267558528428
"8","scenario_9","a","total_orders",80.0267558528428
"9","scenario_6","a","total_orders",80.0573476702509
"10","scenario_1","d","total_inventory",1124.91973244147
"11","scenario_4","c","total_inventory",1382.65551839465
"12","scenario_7","c","total_inventory",1404.14715719064
"13","scenario_2","c","total_inventory",1502.8762541806
"14","scenario_3","c","total_inventory",1538.36120401338
"15","scenario_8","b","total_inventory",1931.61204013378
"16","scenario_9","b","total_inventory",1946.87959866221
"17","scenario_6","ab","total_inventory",2070.05734767025
"18","scenario_5","a","total_inventory",2200.47157190635
"19","scenario_9","c","backlog",6.77591973244147
"20","scenario_8","c","backlog",7.47491638795987
"21","scenario_6","c","backlog",7.62724014336918
"22","scenario_3","c","backlog",7.7123745819398
"23","scenario_2","c","backlog",7.85284280936455
"24","scenario_5","bc","backlog",8.40468227424749
"25","scenario_7","b","backlog",10.2240802675585
"26","scenario_1","a","backlog",13.3946488294314
"27","scenario_4","a","backlog",15.5083612040134
"28","scenario_4","c","order_fulfilment",0.805351170568562
"29","scenario_1","c","order_fulfilment",0.830602006688963
"30","scenario_7","b","order_fulfilment",0.871304347826087
"31","scenario_5","ab","order_fulfilment",0.894615384615385
"32","scenario_2","a","order_fulfilment",0.901304347826087
"33","scenario_3","a","order_fulfilment",0.90314381270903
"34","scenario_6","a","order_fulfilment",0.904372759856631
"35","scenario_8","a","order_fulfilment",0.906321070234114
"36","scenario_9","a","order_fulfilment",0.914983277591973
"37","scenario_4","c","revenue",76639.7023411371
"38","scenario_1","c","revenue",79112.7926421405
"39","scenario_7","b","revenue",82966.3110367893
"40","scenario_5","ab","revenue",85605.5986622074
"41","scenario_2","a","revenue",86206.7993311037
"42","scenario_3","a","revenue",86377.254180602
"43","scenario_6","a","revenue",86501.5089605735
"44","scenario_8","a","revenue",86692.364548495
"45","scenario_9","a","revenue",87532.3110367893
"46","scenario_4","a","cost_of_production",4655.24414715719
"47","scenario_1","a","cost_of_production",4757.80267558528
"48","scenario_7","a","cost_of_production",5034.63545150502
"49","scenario_6","a","cost_of_production",5482.87455197133
"50","scenario_2","a","cost_of_production",5596.22408026756
"51","scenario_5","a","cost_of_production",5607.07692307692
"52","scenario_3","a","cost_of_production",5642.20066889632
"53","scenario_8","a","cost_of_production",5654.61204013378
"54","scenario_9","a","cost_of_production",5701.9397993311
"55","scenario_4","a","costs_of_raw_material",1163.92307692308
"56","scenario_7","a","costs_of_raw_material",1311.64548494983
"57","scenario_1","a","costs_of_raw_material",1311.72575250836
"58","scenario_2","a","costs_of_raw_material",2320.59197324415
"59","scenario_6","a","costs_of_raw_material",2331.79928315412
"60","scenario_3","a","costs_of_raw_material",2339.02341137124
"61","scenario_5","a","costs_of_raw_material",2352.26086956522
"62","scenario_8","a","costs_of_raw_material",2361.71906354515
"63","scenario_9","a","costs_of_raw_material",2375.91304347826
"64","scenario_6","b","cost_of_delivery",109.390681003584
"65","scenario_2","b","cost_of_delivery",109.729096989967
"66","scenario_3","b","cost_of_delivery",109.729096989967
"67","scenario_5","b","cost_of_delivery",109.729096989967
"68","scenario_8","b","cost_of_delivery",109.729096989967
"69","scenario_9","b","cost_of_delivery",109.729096989967
"70","scenario_7","a","cost_of_delivery",472.173913043478
"71","scenario_1","a","cost_of_delivery",475.471571906355
"72","scenario_4","a","cost_of_delivery",498.19397993311
"73","scenario_1","d","costs_of_storage",2250.04347826087
"74","scenario_4","c","costs_of_storage",2765.52173913043
"75","scenario_7","c","costs_of_storage",2808.40802675585
"76","scenario_2","c","costs_of_storage",3005.84280936455
"77","scenario_3","c","costs_of_storage",3076.80602006689
"78","scenario_8","b","costs_of_storage",3863.32775919732
"79","scenario_9","b","costs_of_storage",3893.89966555184
"80","scenario_6","ab","costs_of_storage",4140.23297491039
"81","scenario_5","a","costs_of_storage",4401.04682274248
"82","scenario_4","b","profit",67556.8193979933
"83","scenario_1","ab","profit",70317.7491638796
"84","scenario_5","ab","profit",73135.4849498328
"85","scenario_7","ab","profit",73339.4481605351
"86","scenario_6","a","profit",74437.2114695341
"87","scenario_8","a","profit",74702.9765886288
"88","scenario_2","a","profit",75174.4113712375
"89","scenario_3","a","profit",75209.4949832776
"90","scenario_9","a","profit",75450.8294314381
"91","scenario_1","a","Total.costs",8795.04347826087
"92","scenario_4","a","Total.costs",9082.88294314381
"93","scenario_7","a","Total.costs",9626.86287625418
"94","scenario_2","a","Total.costs",11032.3879598662
"95","scenario_3","a","Total.costs",11167.7591973244
"96","scenario_8","a","Total.costs",11989.3879598662
"97","scenario_6","a","Total.costs",12064.2974910394
"98","scenario_9","a","Total.costs",12081.4816053512
"99","scenario_5","a","Total.costs",12470.1137123746
